Unnamed: 0,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,rolling_avg_fwd_pkts,rolling_avg_bwd_pkts,fwd_pkt_len_avg_spark_func,fwd_pkt_len_avg_spark_sql,is_below_mean_init_bwd_win_byts,Src Country,Dst Country
3096005,172.31.65.64-1.0.176.98-445-21019-6,1.0.176.98,21019,172.31.65.64,445,6,2018-02-20 01:43:59,266400,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.015015015015011,88800.0,153709.99255416024,266289.0,1.0,266400.0,133200.0,188371.83229453387,266399.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,11.26126126126126,3.753753753753753,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,11.26126126126126,3.753753753753753,0.0,0.0,False,unknown,unknown
6670661,172.31.66.24-1.0.176.98-445-19751-6,1.0.176.98,19751,172.31.66.24,445,6,2018-02-20 02:14:24,259555,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.41099188996552,86518.33333333334,149774.4815425289,259463.0,1.0,259555.0,129777.5,183531.686377312,259554.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,11.558243917474131,3.85274797249138,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,11.409752589367695,3.8032508631225665,0.0,0.0,False,unknown,unknown
4849504,172.31.67.48-1.0.176.98-445-2392-6,1.0.176.98,2392,172.31.67.48,445,6,2018-02-20 02:32:08,763112,5,4,286.0,170.0,103.0,0.0,57.2,52.48523601928451,131.0,0.0,42.5,61.7980582219215,597.5531769910576,11.793812703770875,95389.0,131317.8127096897,254300.0,29.0,762977.0,190744.25,126840.95238361837,254511.0,484.0,763083.0,254361.0,95.64517760974674,254435.0,254253.0,0,0,0,0,112,92,6.552118168761598,5.241694535009278,0.0,131.0,45.6,52.98469380658699,2807.3777777777777,0,0,0,1,0,0,0,0,0.0,50.66666666666666,57.2,42.5,0,0,0,0,0,0,5,286,4,170,8192,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,9.79054111583233,4.282732087084804,51.5,51.5,True,unknown,unknown
4845808,172.31.67.48-1.0.176.98-445-2362-6,1.0.176.98,2362,172.31.67.48,445,6,2018-02-20 02:32:08,254018,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.746915572912156,84672.66666666666,146584.62027898198,253934.0,1.0,254018.0,127009.0,179616.43612988203,254017.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,11.810186679684117,3.936728893228038,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,9.973516255306615,4.343723800242898,0.0,0.0,False,unknown,unknown
7374019,172.31.65.104-1.0.176.98-445-63528-6,1.0.176.98,63528,172.31.65.104,445,6,2018-02-20 02:41:51,774549,5,4,286.0,170.0,103.0,0.0,57.2,52.48523601928451,131.0,0.0,42.5,61.7980582219215,588.7296994767277,11.619665121251204,96818.625,133489.66995768144,258157.0,3.0,774495.0,193623.75,129080.64878562032,258440.0,3.0,774495.0,258165.0,168.97041161102734,258280.0,257971.0,0,0,0,0,112,92,6.455369511806222,5.164295609444981,0.0,131.0,45.6,52.98469380658699,2807.3777777777777,0,0,0,1,0,0,0,0,0.0,50.66666666666666,57.2,42.5,0,0,0,0,0,0,5,286,4,170,8192,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,8.27255812008398,4.780906345894098,51.5,51.5,True,unknown,unknown
4695967,172.31.67.24-1.0.176.98-445-52951-6,1.0.176.98,52951,172.31.67.24,445,6,2018-02-20 02:50:30,254990,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.686889681948312,84996.66666666666,147135.41420858994,254894.0,1.0,254990.0,127495.0,180303.7439211954,254989.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,11.765167261461237,3.921722420487078,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,10.010241150983859,4.340915641053365,0.0,0.0,False,unknown,unknown
1138370,172.31.65.86-1.0.176.98-445-7496-6,1.0.176.98,7496,172.31.65.86,445,6,2018-02-20 03:14:14,1091541,6,5,455.0,338.0,140.0,0.0,75.83333333333333,62.9362110923963,145.0,0.0,67.6,69.75887040369847,726.4958439490591,10.077495943807882,109154.1,140788.0956808257,272912.0,3.0,1091466.0,218293.2,122028.13857549414,273037.0,3.0,1091463.0,272865.75,172.2795693052401,273016.0,272620.0,0,0,0,0,132,112,5.496815969349754,4.580679974458128,0.0,145.0,66.08333333333333,63.40269327995078,4019.901515151516,0,0,0,1,0,0,0,0,0.0,72.0909090909091,75.83333333333333,67.6,0,0,0,0,0,0,6,455,5,338,8192,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,7.905784247539071,4.555566001463396,70.0,70.0,True,unknown,unknown
5356458,172.31.68.20-1.0.176.98-445-14238-6,1.0.176.98,14238,172.31.68.20,445,6,2018-02-20 03:15:18,778045,5,4,373.0,172.0,140.0,0.0,74.6,70.2837107728384,133.0,0.0,43.0,62.75348595894893,700.4736229909581,11.567454324621329,97255.625,134015.0224680987,259362.0,62.0,777973.0,194493.25,129367.01487467096,259481.0,443.0,777978.0,259326.0,184.46950967571848,259434.0,259113.0,0,0,0,0,112,92,6.426363513678515,5.141090810942812,0.0,140.0,54.5,64.19804427619964,4121.38888888889,0,0,0,1,0,0,0,0,0.0,60.55555555555557,74.6,43.0,0,0,0,0,0,0,5,373,4,172,8192,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,7.8961155814965025,4.547831068629339,70.0,70.0,True,unknown,unknown
3221467,172.31.65.85-1.0.176.98-445-42405-6,1.0.176.98,42405,172.31.65.85,445,6,2018-02-20 03:40:04,262558,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.234729088429985,87519.33333333334,151513.45961442942,262472.0,1.0,262558.0,131279.0,185655.1280412152,262557.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,11.426046816322488,3.808682272107496,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,7.783075433116919,4.510151019169478,0.0,0.0,False,unknown,unknown
4137185,172.31.66.74-1.0.176.98-445-2600-6,1.0.176.98,2600,172.31.66.74,445,6,2018-02-20 03:43:59,774514,5,4,286.0,170.0,103.0,0.0,57.2,52.48523601928451,131.0,0.0,42.5,61.7980582219215,588.7563039531886,11.620190209602407,96814.25,133452.18188737117,258123.0,4.0,774467.0,193616.75,129075.35602475268,258467.0,4.0,774452.0,258150.66666666663,209.5526982248936,258282.0,257909.0,0,0,0,0,112,92,6.4556612275568925,5.164528982045515,0.0,131.0,45.6,52.98469380658699,2807.3777777777777,0,0,0,1,0,0,0,0,0.0,50.66666666666666,57.2,42.5,0,0,0,0,0,0,5,286,4,170,8192,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,8.102690519185964,4.704767355031941,51.5,51.5,True,unknown,unknown
